source_sheet,source_column,destination_table,destination_column,transform,notes
Upskiller Registrations,Timestamp,cycle_enrollments,enrolled_at,parse_date,also seeds participants.created_at; cycle_id resolved from active cycle's window
Upskiller Registrations,Email Address,participants,email,lower+trim,primary identity key; ON CONFLICT (email) DO UPDATE
Upskiller Registrations,First Name,participants,first_name,trim,
Upskiller Registrations,Last Name,participants,last_name,trim,
Upskiller Registrations,Preferred Name,participants,preferred_name,trim,
Upskiller Registrations,Invited to slack,N/A,N/A,,"computed by query (Slack workspace state, not a participant attribute)"
Upskiller Registrations,Gender,participants,gender,trim,
Upskiller Registrations,Phone number (Used for day-of updates about in-person events.),participants,phone_number,trim,added in ISSUE-W1-001
Upskiller Registrations,Where are you based?,participants,state,trim,
Upskiller Registrations,"If you are based in the DMV, what neighborhood do you live in? (e.g. Capitol Hill, Pentagon City, Laurel, etc)",participants,neighborhood,trim,
Upskiller Registrations,Do you currently have a DC Public Library Card?,participants,dcpl_card,trim,
Upskiller Registrations,"If you do not have have a DC Public Library Card or are not sure whether you do, would you like information on how to get one?",participants,dcpl_info,bool_yn,
Upskiller Registrations,What best describes your current work situation?,participants,work_situation,trim,
Upskiller Registrations,"If unemployed, underemployed, or in transition: What’s your main focus over the next few months? ",participants,main_focus,trim,source has trailing space and curly apostrophe — keep verbatim for df[col] lookup
Upskiller Registrations,What sector or field do you primarily work in? ,participants,sector,trim,source has trailing space
Upskiller Registrations,Current or most recent job title and organization ,participants,current_title,trim,source has trailing space
Upskiller Registrations,LinkedIn,participants,linkedin,trim,
Upskiller Registrations,How familiar are you with generative AI tools (like ChatGPT and Claude)? ,participants,ai_tool_familiarity,int_scale_1_5(familiarity_map),"labels: Never used=1, Hardly use=2, Use occasionally=3, Use often=4, Daily user=5 (per W1-003 thread, 2026-05-06)"
Upskiller Registrations,Which tools have you tried?,participant_options,option_id,csv_split → participant_options(list_name='ai_tools'),ai_tools expanded to 61 in 00010 — most legacy tokens should match; halt on unmatched
Upskiller Registrations,What are you hoping to get out of the Labs in the next few months? (Choose up to 3),participant_options,option_id,csv_split → participant_options(list_name='labs_goals'),
Upskiller Registrations,How do you see yourself participating right now? ,N/A,N/A,,form-only — captures participation MODE for participant clarity; not stored in lean schema. Considered participants.participation_expectations per W1-003 thread but rejected to avoid a one-column migration. Cf. col 24 covers commitment LEVEL.
Upskiller Registrations,What does your availability generally look like?,participant_options,option_id,csv_split → participant_options(list_name='availability'),watch en-dash in '2–5 hrs/week'
Upskiller Registrations,Anything we should know about your availability?,participants,availability_notes,trim,added in ISSUE-W1-001
Upskiller Registrations,Participation expectations. Please confirm one:,participants,participation_commitment,prose_lookup(commitment_map),"canonical destination. Map: ""I'm ready to participate consistently and follow through on commitments""=>'yes'; ""I'm interested, but my availability is uncertain right now""=>'uncertain'. Schema is VARCHAR(20) CHECK ('yes','uncertain')."
Upskiller Registrations,"If your commitment is uncertain, what would make participation workable for you?",participants,commitment_notes,trim,added in ISSUE-W1-001
Upskiller Registrations,How do you tend to work with others?,participant_options,option_id,csv_split → participant_options(list_name='work_style'),
Upskiller Registrations,What skills or strengths could you bring to a group?,participant_options,option_id,csv_split → participant_options(list_name='group_strengths'),
Upskiller Registrations,What is your primary domain or area of expertise?,participants,primary_expertise,trim,
Upskiller Registrations,What areas are you most interested in exploring?,participants,interest_areas,trim,added in ISSUE-W1-001
Upskiller Registrations,Would you consider helping steward the community?,participants,volunteer_interest,trim,
Upskiller Registrations,If you are interested in moderating: Have you facilitated or moderated groups before?,participants,moderator_experience,trim,added in ISSUE-W1-001
Upskiller Registrations,What interests you about taking on a stewardship or leadership role? ,participants,notes,prefix:'Stewardship interest: ',added in ISSUE-W1-001; source has trailing space; concatenated into notes with prefix to disambiguate from col 37
